Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method,state_abbrev,district_code,margin_of_victory,competitive,winner_share,total_votes,handle_lower,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,nominate_abs
MillsCory Mills (R),$1609397,$556808,34.60%,Raised over $100k,R,Republican,1609397,556808,34.6,Cory Mills,100.0,auto,Cory,Mills,Cory Mills,Republican,rep,FL,M001216,RepMillsPress,Q4 (highest),full_house,FL,7.0,13.052912379728127,0.0,56.526456189864064,413854.0,repmillspress,0.602,-0.316,0.602,-0.306,0.602
MastBrian Mast (R),$3974043,$1366501,34.39%,Raised over $100k,R,Republican,3974043,1366501,34.39,Brian Mast,87.0,auto,Brian,Mast,Brian J. Mast,Republican,rep,FL,M001199,RepBrianMast,Q4 (highest),full_house,FL,21.0,23.64773623670242,0.0,61.821751202185546,448766.0,repbrianmast,0.461,-0.333,0.482,-0.246,0.461
PorterKatie Porter (D),$32119165,$10902528,33.94%,Raised over $100k,D,Democrat,32119165,10902528,33.94,Katie Porter,100.0,manual,,,Katie Porter,Democrat,rep,CA,P000618,RepKatiePorter,Q4 (highest),full_house,CA,47.0,2.87792795980468,1.0,51.43896397990234,353275.0,repkatieporter,-0.236,-0.332,-0.372,-0.405,0.236
PeltolaMary Peltola (D),$13210877,$4395102,33.27%,Raised over $100k,D,Democrat,13210877,4395102,33.27,Mary Sattler Peltola,100.0,manual,,,Mary Sattler Peltola,Democrat,rep,AK,P000619,Rep_Peltola,Q4 (highest),full_house,AK,1.0,2.039720228793378,1.0,48.41377008390102,329555.0,rep_peltola,-0.138,0.378,-0.137,0.377,0.138
BushCori Bush (D),$3931525,$1288772,32.78%,Raised over $100k,D,Democrat,3931525,1288772,32.78,Wesley Bell,100.0,manual,,,Wesley Bell,Democrat,rep,MO,B001324,RepWesleyBellMO,Q4 (highest),full_house,,,,,,,repwesleybellmo,,,,,
JacksonJeff Jackson (D),$768284,$249285,32.45%,Raised over $100k,D,Democrat,768284,249285,32.45,Jeff Jackson,100.0,manual,,,Jeff Jackson,Democrat,rep,NC,J000308,RepJeffJackson,Q4 (highest),full_house,NC,14.0,16.12885539406264,0.0,58.06442769703132,401256.0,repjeffjackson,-0.263,0.171,-0.263,0.171,0.263
ReschenthalerGuy Reschenthaler (R),$4327277,$1380397,31.90%,Raised over $100k,R,Republican,4327277,1380397,31.9,Guy Reschenthaler,100.0,auto,Guy,Reschenthaler,Guy Reschenthaler,Republican,rep,PA,R000610,GReschenthaler,Q4 (highest),full_house,PA,14.0,33.14646458382428,0.0,66.57323229191215,403135.0,greschenthaler,0.446,0.058,0.555,0.133,0.446
TlaibRashida Tlaib (D),$8361649,$2660970,31.82%,Raised over $100k,D,Democrat,8361649,2660970,31.82,Rashida Tlaib,100.0,auto,Rashida,Tlaib,Rashida Tlaib,Democrat,rep,MI,T000481,RepRashida,Q4 (highest),full_house,MI,12.0,44.25431706827254,0.0,69.69867867586981,363499.0,reprashida,-0.29,-0.957,-0.981,-0.192,0.29
GrijalvaRaul M Grijalva (D),$637820,$191331,30.00%,Raised over $100k,D,Democrat,637820,191331,30.0,Raúl M. Grijalva,100.0,manual,,,Raúl M. Grijalva,Democrat,rep,AZ,G000551,RepRaulGrijalva,Q4 (highest),full_house,AZ,7.0,26.89817018497405,0.0,63.449085092487024,271011.0,repraulgrijalva,-0.598,-0.264,-0.573,-0.39,0.598
CrenshawDan Crenshaw (R),$4056322,$1209494,29.82%,Raised over $100k,R,Republican,4056322,1209494,29.82,Dan Crenshaw,100.0,auto,Dan,Crenshaw,Dan Crenshaw,Republican,rep,TX,C001120,RepDanCrenshaw,Q4 (highest),full_house,TX,2.0,31.319768846957466,0.0,65.65988442347873,326883.0,repdancrenshaw,0.436,0.266,0.507,0.534,0.436
